ID	Gene Name	Species	GOTERM_BP_DIRECT
CD151	CD151 molecule (Raph blood group)(CD151)	Homo sapiens	GO:0007155~cell adhesion;GO:0007166~cell surface receptor signaling pathway;GO:0016477~cell migration;GO:0031581~hemidesmosome assembly;GO:0042098~T cell proliferation,
CD274	CD274 molecule(CD274)	Homo sapiens	GO:0006955~immune response;GO:0007165~signal transduction;GO:0007166~cell surface receptor signaling pathway;GO:0030335~positive regulation of cell migration;GO:0031295~T cell costimulation;GO:0032689~negative regulation of interferon-gamma production;GO:0032693~negative regulation of interleukin-10 production;GO:0034097~response to cytokine;GO:0042102~positive regulation of T cell proliferation;GO:0046006~regulation of activated T cell proliferation;GO:0046007~negative regulation of activated T cell proliferation;GO:0070232~regulation of T cell apoptotic process;GO:1901998~toxin transport;GO:1903556~negative regulation of tumor necrosis factor superfamily cytokine production;GO:2001181~positive regulation of interleukin-10 secretion,
CD38	CD38 molecule(CD38)	Homo sapiens	GO:0001666~response to hypoxia;GO:0007165~signal transduction;GO:0007204~positive regulation of cytosolic calcium ion concentration;GO:0007565~female pregnancy;GO:0030307~positive regulation of cell growth;GO:0030890~positive regulation of B cell proliferation;GO:0032024~positive regulation of insulin secretion;GO:0032355~response to estradiol;GO:0032526~response to retinoic acid;GO:0032570~response to progesterone;GO:0033194~response to hydroperoxide;GO:0042493~response to drug;GO:0043066~negative regulation of apoptotic process;GO:0045779~negative regulation of bone resorption;GO:0045892~negative regulation of transcription, DNA-templated;GO:0045893~positive regulation of transcription, DNA-templated;GO:0045907~positive regulation of vasoconstriction;GO:0050853~B cell receptor signaling pathway;GO:0060292~long term synaptic depression;GO:0070555~response to interleukin-1;GO:0097190~apoptotic signaling pathway,
CD40LG	CD40 ligand(CD40LG)	Homo sapiens	GO:0006954~inflammatory response;GO:0006955~immune response;GO:0007159~leukocyte cell-cell adhesion;GO:0007257~activation of JUN kinase activity;GO:0030168~platelet activation;GO:0030183~B cell differentiation;GO:0031295~T cell costimulation;GO:0032733~positive regulation of interleukin-10 production;GO:0032735~positive regulation of interleukin-12 production;GO:0032753~positive regulation of interleukin-4 production;GO:0033209~tumor necrosis factor-mediated signaling pathway;GO:0042100~B cell proliferation;GO:0042102~positive regulation of T cell proliferation;GO:0043066~negative regulation of apoptotic process;GO:0045190~isotype switching;GO:0048305~immunoglobulin secretion;GO:0050776~regulation of immune response;GO:0051023~regulation of immunoglobulin secretion;GO:0051092~positive regulation of NF-kappaB transcription factor activity;GO:2000353~positive regulation of endothelial cell apoptotic process,
CD44	CD44 molecule (Indian blood group)(CD44)	Homo sapiens	GO:0007155~cell adhesion;GO:0007160~cell-matrix adhesion;GO:0016337~single organismal cell-cell adhesion;GO:0022617~extracellular matrix disassembly;GO:0030198~extracellular matrix organization;GO:0030214~hyaluronan catabolic process;GO:0033138~positive regulation of peptidyl-serine phosphorylation;GO:0033674~positive regulation of kinase activity;GO:0034116~positive regulation of heterotypic cell-cell adhesion;GO:0043066~negative regulation of apoptotic process;GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0043518~negative regulation of DNA damage response, signal transduction by p53 class mediator;GO:0044344~cellular response to fibroblast growth factor stimulus;GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation;GO:0050900~leukocyte migration;GO:0051216~cartilage development;GO:0060333~interferon-gamma-mediated signaling pathway;GO:0070374~positive regulation of ERK1 and ERK2 cascade;GO:0070487~monocyte aggregation;GO:1900625~positive regulation of monocyte aggregation;GO:1902166~negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,
CD82	CD82 molecule(CD82)	Homo sapiens	GO:0007166~cell surface receptor signaling pathway,
COPS6	COP9 signalosome subunit 6(COPS6)	Homo sapiens	GO:0000338~protein deneddylation;GO:0000715~nucleotide-excision repair, DNA damage recognition;GO:0006283~transcription-coupled nucleotide-excision repair;GO:0010388~cullin deneddylation;GO:0016032~viral process,
COPS8	COP9 signalosome subunit 8(COPS8)	Homo sapiens	GO:0000715~nucleotide-excision repair, DNA damage recognition;GO:0006283~transcription-coupled nucleotide-excision repair;GO:0007250~activation of NF-kappaB-inducing kinase activity;GO:0008285~negative regulation of cell proliferation;GO:0010387~COP9 signalosome assembly;GO:0010388~cullin deneddylation,
CREBBP	CREB binding protein(CREBBP)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0001666~response to hypoxia;GO:0002223~stimulatory C-type lectin receptor signaling pathway;GO:0006355~regulation of transcription, DNA-templated;GO:0006367~transcription initiation from RNA polymerase II promoter;GO:0006461~protein complex assembly;GO:0006473~protein acetylation;GO:0007165~signal transduction;GO:0007219~Notch signaling pathway;GO:0008589~regulation of smoothened signaling pathway;GO:0016032~viral process;GO:0016573~histone acetylation;GO:0018076~N-terminal peptidyl-lysine acetylation;GO:0032481~positive regulation of type I interferon production;GO:0034644~cellular response to UV;GO:0042592~homeostatic process;GO:0042733~embryonic digit morphogenesis;GO:0042981~regulation of apoptotic process;GO:0044255~cellular lipid metabolic process;GO:0045893~positive regulation of transcription, DNA-templated;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0048511~rhythmic process;GO:0061418~regulation of transcription from RNA polymerase II promoter in response to hypoxia;GO:1900034~regulation of cellular response to heat;GO:1904837~beta-catenin-TCF complex assembly,
CRKL	CRK like proto-oncogene, adaptor protein(CRKL)	Homo sapiens	GO:0000186~activation of MAPKK activity;GO:0001568~blood vessel development;GO:0007254~JNK cascade;GO:0007265~Ras protein signal transduction;GO:0007507~heart development;GO:0008284~positive regulation of cell proliferation;GO:0009887~organ morphogenesis;GO:0009952~anterior/posterior pattern specification;GO:0035556~intracellular signal transduction;GO:0048538~thymus development;GO:0060017~parathyroid gland development;GO:0098609~cell-cell adhesion;GO:1900026~positive regulation of substrate adhesion-dependent cell spreading,
CTDSP2	CTD small phosphatase 2(CTDSP2)	Homo sapiens	GO:0001933~negative regulation of protein phosphorylation;GO:0006470~protein dephosphorylation;GO:0036498~IRE1-mediated unfolded protein response;GO:2000134~negative regulation of G1/S transition of mitotic cell cycle,
CTDSPL	CTD small phosphatase like(CTDSPL)	Homo sapiens	GO:0001933~negative regulation of protein phosphorylation;GO:0006470~protein dephosphorylation;GO:2000134~negative regulation of G1/S transition of mitotic cell cycle,
CELF2	CUGBP, Elav-like family member 2(CELF2)	Homo sapiens	GO:0006376~mRNA splice site selection;GO:0006396~RNA processing;GO:0006397~mRNA processing;GO:0008016~regulation of heart contraction,
CYLD	CYLD lysine 63 deubiquitinase(CYLD)	Homo sapiens	GO:0006511~ubiquitin-dependent protein catabolic process;GO:0007049~cell cycle;GO:0007346~regulation of mitotic cell cycle;GO:0010803~regulation of tumor necrosis factor-mediated signaling pathway;GO:0016055~Wnt signaling pathway;GO:0016579~protein deubiquitination;GO:0032088~negative regulation of NF-kappaB transcription factor activity;GO:0032480~negative regulation of type I interferon production;GO:0042347~negative regulation of NF-kappaB import into nucleus;GO:0045087~innate immune response;GO:0070266~necroptotic process;GO:0070423~nucleotide-binding oligomerization domain containing signaling pathway;GO:0070507~regulation of microtubule cytoskeleton organization;GO:0070536~protein K63-linked deubiquitination;GO:0090090~negative regulation of canonical Wnt signaling pathway;GO:1902017~regulation of cilium assembly;GO:1990108~protein linear deubiquitination;GO:2001238~positive regulation of extrinsic apoptotic signaling pathway;GO:2001242~regulation of intrinsic apoptotic signaling pathway,
CBLL1	Cbl proto-oncogene like 1(CBLL1)	Homo sapiens	GO:0007162~negative regulation of cell adhesion;GO:0016337~single organismal cell-cell adhesion;GO:0016567~protein ubiquitination;GO:0030155~regulation of cell adhesion;GO:0030335~positive regulation of cell migration;GO:0045807~positive regulation of endocytosis,
DDX5	DEAD-box helicase 5(DDX5)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0000381~regulation of alternative mRNA splicing, via spliceosome;GO:0000398~mRNA splicing, via spliceosome;GO:0006357~regulation of transcription from RNA polymerase II promoter;GO:0009299~mRNA transcription;GO:0010501~RNA secondary structure unwinding;GO:0016049~cell growth;GO:0033148~positive regulation of intracellular estrogen receptor signaling pathway;GO:0043517~positive regulation of DNA damage response, signal transduction by p53 class mediator;GO:0045069~regulation of viral genome replication;GO:0045667~regulation of osteoblast differentiation;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0048511~rhythmic process;GO:0060765~regulation of androgen receptor signaling pathway;GO:0072332~intrinsic apoptotic signaling pathway by p53 class mediator;GO:2001014~regulation of skeletal muscle cell differentiation,
DDX53	DEAD-box helicase 53(DDX53)	Homo sapiens	GO:0010501~RNA secondary structure unwinding,
DDX58	DExD/H-box helicase 58(DDX58)	Homo sapiens	GO:0002230~positive regulation of defense response to virus by host;GO:0009597~detection of virus;GO:0009615~response to virus;GO:0010628~positive regulation of gene expression;GO:0030334~regulation of cell migration;GO:0032480~negative regulation of type I interferon production;GO:0032725~positive regulation of granulocyte macrophage colony-stimulating factor production;GO:0032727~positive regulation of interferon-alpha production;GO:0032728~positive regulation of interferon-beta production;GO:0032755~positive regulation of interleukin-6 production;GO:0032757~positive regulation of interleukin-8 production;GO:0034344~regulation of type III interferon production;GO:0039528~cytoplasmic pattern recognition receptor signaling pathway in response to virus;GO:0039529~RIG-I signaling pathway;GO:0042993~positive regulation of transcription factor import into nucleus;GO:0043330~response to exogenous dsRNA;GO:0045087~innate immune response;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity,
DIMT1	DIM1 dimethyladenosine transferase 1 homolog(DIMT1)	Homo sapiens	GO:0031167~rRNA methylation,
DLC1	DLC1 Rho GTPase activating protein(DLC1)	Homo sapiens	GO:0001843~neural tube closure;GO:0003007~heart morphogenesis;GO:0006915~apoptotic process;GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0007165~signal transduction;GO:0008285~negative regulation of cell proliferation;GO:0008360~regulation of cell shape;GO:0021575~hindbrain morphogenesis;GO:0030036~actin cytoskeleton organization;GO:0030336~negative regulation of cell migration;GO:0030900~forebrain development;GO:0032956~regulation of actin cytoskeleton organization;GO:0035023~regulation of Rho protein signal transduction;GO:0035024~negative regulation of Rho protein signal transduction;GO:0035307~positive regulation of protein dephosphorylation;GO:0043547~positive regulation of GTPase activity;GO:0048041~focal adhesion assembly;GO:0051056~regulation of small GTPase mediated signal transduction;GO:0051497~negative regulation of stress fiber assembly;GO:0051895~negative regulation of focal adhesion assembly;GO:1900119~positive regulation of execution phase of apoptosis,
DDIT3	DNA damage inducible transcript 3(DDIT3)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0001955~blood vessel maturation;GO:0006351~transcription, DNA-templated;GO:0006355~regulation of transcription, DNA-templated;GO:0006915~apoptotic process;GO:0006974~cellular response to DNA damage stimulus;GO:0006983~ER overload response;GO:0006986~response to unfolded protein;GO:0007050~cell cycle arrest;GO:0016055~Wnt signaling pathway;GO:0032757~positive regulation of interleukin-8 production;GO:0032792~negative regulation of CREB transcription factor activity;GO:0034976~response to endoplasmic reticulum stress;GO:0036499~PERK-mediated unfolded protein response;GO:0036500~ATF6-mediated unfolded protein response;GO:0042594~response to starvation;GO:0042789~mRNA transcription from RNA polymerase II promoter;GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process;GO:0043433~negative regulation of sequence-specific DNA binding transcription factor activity;GO:0043525~positive regulation of neuron apoptotic process;GO:0043620~regulation of DNA-templated transcription in response to stress;GO:0044324~regulation of transcription involved in anterior/posterior axis specification;GO:0045454~cell redox homeostasis;GO:0045599~negative regulation of fat cell differentiation;GO:0045662~negative regulation of myoblast differentiation;GO:0045892~negative regulation of transcription, DNA-templated;GO:0045893~positive regulation of transcription, DNA-templated;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0051209~release of sequestered calcium ion into cytosol;GO:0051898~negative regulation of protein kinase B signaling;GO:0070059~intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress;GO:0072655~establishment of protein localization to mitochondrion;GO:0090090~negative regulation of canonical Wnt signaling pathway;GO:1902237~positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway;GO:1903026~negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding;GO:1990440~positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress;GO:1990442~intrinsic apoptotic signaling pathway in response to nitrosative stress;GO:2000016~negative regulation of determination of dorsal identity,
DNMT1	DNA methyltransferase 1(DNMT1)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0006306~DNA methylation;GO:0006351~transcription, DNA-templated;GO:0007265~Ras protein signal transduction;GO:0010216~maintenance of DNA methylation;GO:0010628~positive regulation of gene expression;GO:0016458~gene silencing;GO:0016569~covalent chromatin modification;GO:0042127~regulation of cell proliferation;GO:0043045~DNA methylation involved in embryo development;GO:0045814~negative regulation of gene expression, epigenetic;GO:0051571~positive regulation of histone H3-K4 methylation;GO:0051573~negative regulation of histone H3-K9 methylation;GO:0071230~cellular response to amino acid stimulus;GO:0090116~C-5 methylation of cytosine;GO:0090309~positive regulation of methylation-dependent chromatin silencing,
DNMT3A	DNA methyltransferase 3 alpha(DNMT3A)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0000278~mitotic cell cycle;GO:0006306~DNA methylation;GO:0006346~methylation-dependent chromatin silencing;GO:0006349~regulation of gene expression by genetic imprinting;GO:0007283~spermatogenesis;GO:0007568~aging;GO:0009636~response to toxic substance;GO:0010212~response to ionizing radiation;GO:0010288~response to lead ion;GO:0010424~DNA methylation on cytosine within a CG sequence;GO:0010468~regulation of gene expression;GO:0010942~positive regulation of cell death;GO:0030182~neuron differentiation;GO:0032355~response to estradiol;GO:0033189~response to vitamin A;GO:0042220~response to cocaine;GO:0042493~response to drug;GO:0043045~DNA methylation involved in embryo development;GO:0043046~DNA methylation involved in gamete generation;GO:0044027~hypermethylation of CpG island;GO:0045814~negative regulation of gene expression, epigenetic;GO:0046498~S-adenosylhomocysteine metabolic process;GO:0046499~S-adenosylmethioninamine metabolic process;GO:0071230~cellular response to amino acid stimulus;GO:0071361~cellular response to ethanol;GO:0071456~cellular response to hypoxia;GO:0090116~C-5 methylation of cytosine;GO:0097284~hepatocyte apoptotic process,
DNMT3B	DNA methyltransferase 3 beta(DNMT3B)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0001666~response to hypoxia;GO:0006306~DNA methylation;GO:0009636~response to toxic substance;GO:0010212~response to ionizing radiation;GO:0010424~DNA methylation on cytosine within a CG sequence;GO:0010468~regulation of gene expression;GO:0010628~positive regulation of gene expression;GO:0014823~response to activity;GO:0031000~response to caffeine;GO:0032355~response to estradiol;GO:0033189~response to vitamin A;GO:0042220~response to cocaine;GO:0042493~response to drug;GO:0045666~positive regulation of neuron differentiation;GO:0045814~negative regulation of gene expression, epigenetic;GO:0046498~S-adenosylhomocysteine metabolic process;GO:0046499~S-adenosylmethioninamine metabolic process;GO:0051571~positive regulation of histone H3-K4 methylation;GO:0051573~negative regulation of histone H3-K9 methylation;GO:0071455~cellular response to hyperoxia;GO:0071549~cellular response to dexamethasone stimulus;GO:0090116~C-5 methylation of cytosine,
E2F1	E2F transcription factor 1(E2F1)	Homo sapiens	GO:0000077~DNA damage checkpoint;GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0006351~transcription, DNA-templated;GO:0006355~regulation of transcription, DNA-templated;GO:0006977~DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest;GO:0007283~spermatogenesis;GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage;GO:0010628~positive regulation of gene expression;GO:0030900~forebrain development;GO:0043276~anoikis;GO:0043392~negative regulation of DNA binding;GO:0045599~negative regulation of fat cell differentiation;GO:0045892~negative regulation of transcription, DNA-templated;GO:0045893~positive regulation of transcription, DNA-templated;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0048146~positive regulation of fibroblast proliferation;GO:0048255~mRNA stabilization;GO:0070345~negative regulation of fat cell proliferation;GO:0071398~cellular response to fatty acid;GO:0071456~cellular response to hypoxia;GO:0071466~cellular response to xenobiotic stimulus;GO:0071930~negative regulation of transcription involved in G1/S transition of mitotic cell cycle;GO:0072332~intrinsic apoptotic signaling pathway by p53 class mediator;GO:1900740~positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;GO:1990086~lens fiber cell apoptotic process;GO:1990090~cellular response to nerve growth factor stimulus;GO:2000045~regulation of G1/S transition of mitotic cell cycle,
E2F3	E2F transcription factor 3(E2F3)	Homo sapiens	GO:0006351~transcription, DNA-templated;GO:0006367~transcription initiation from RNA polymerase II promoter;GO:0007049~cell cycle;GO:0008284~positive regulation of cell proliferation;GO:0045893~positive regulation of transcription, DNA-templated;GO:0070345~negative regulation of fat cell proliferation,
E2F5	E2F transcription factor 5(E2F5)	Homo sapiens	GO:0006351~transcription, DNA-templated;GO:0009887~organ morphogenesis;GO:0030030~cell projection organization;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0051726~regulation of cell cycle,
EHD2	EH domain containing 2(EHD2)	Homo sapiens	GO:0006897~endocytosis;GO:0007596~blood coagulation;GO:0030866~cortical actin cytoskeleton organization;GO:0032456~endocytic recycling;GO:0072659~protein localization to plasma membrane;GO:0097320~membrane tubulation;GO:1901741~positive regulation of myoblast fusion;GO:2001137~positive regulation of endocytic recycling,
ELAVL1	ELAV like RNA binding protein 1(ELAVL1)	Homo sapiens	GO:0000398~mRNA splicing, via spliceosome;GO:0007275~multicellular organism development;GO:0043488~regulation of mRNA stability;GO:0045727~positive regulation of translation;GO:0048255~mRNA stabilization;GO:0060965~negative regulation of gene silencing by miRNA;GO:0070935~3'-UTR-mediated mRNA stabilization;GO:2000036~regulation of stem cell population maintenance,
ELAVL4	ELAV like RNA binding protein 4(ELAVL4)	Homo sapiens	GO:0006396~RNA processing;GO:0006397~mRNA processing;GO:0007612~learning;GO:0007626~locomotory behavior;GO:0048813~dendrite morphogenesis,
ELOVL6	ELOVL fatty acid elongase 6(ELOVL6)	Homo sapiens	GO:0006636~unsaturated fatty acid biosynthetic process;GO:0019367~fatty acid elongation, saturated fatty acid;GO:0030148~sphingolipid biosynthetic process;GO:0034625~fatty acid elongation, monounsaturated fatty acid;GO:0034626~fatty acid elongation, polyunsaturated fatty acid;GO:0035338~long-chain fatty-acyl-CoA biosynthetic process;GO:0042759~long-chain fatty acid biosynthetic process;GO:0042761~very long-chain fatty acid biosynthetic process,
ETS1	ETS proto-oncogene 1, transcription factor(ETS1)	Homo sapiens	GO:0001666~response to hypoxia;GO:0006366~transcription from RNA polymerase II promoter;GO:0006955~immune response;GO:0007565~female pregnancy;GO:0008284~positive regulation of cell proliferation;GO:0008285~negative regulation of cell proliferation;GO:0009612~response to mechanical stimulus;GO:0010595~positive regulation of endothelial cell migration;GO:0010715~regulation of extracellular matrix disassembly;GO:0021854~hypothalamus development;GO:0021983~pituitary gland development;GO:0030578~PML body organization;GO:0032355~response to estradiol;GO:0034616~response to laminar fluid shear stress;GO:0042981~regulation of apoptotic process;GO:0044849~estrous cycle;GO:0045648~positive regulation of erythrocyte differentiation;GO:0045765~regulation of angiogenesis;GO:0045766~positive regulation of angiogenesis;GO:0045786~negative regulation of cell cycle;GO:0045893~positive regulation of transcription, DNA-templated;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0046677~response to antibiotic;GO:0048870~cell motility;GO:0050728~negative regulation of inflammatory response;GO:0050729~positive regulation of inflammatory response;GO:0051272~positive regulation of cellular component movement;GO:0060055~angiogenesis involved in wound healing;GO:0061614~pri-miRNA transcription from RNA polymerase II promoter;GO:0070301~cellular response to hydrogen peroxide;GO:0070555~response to interleukin-1;GO:1904996~positive regulation of leukocyte adhesion to vascular endothelial cell,
ETV1	ETS variant 1(ETV1)	Homo sapiens	GO:0006366~transcription from RNA polymerase II promoter;GO:0007411~axon guidance;GO:0007517~muscle organ development;GO:0007638~mechanosensory behavior;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0048935~peripheral nervous system neuron development,
EYA4	EYA transcriptional coactivator and phosphatase 4(EYA4)	Homo sapiens	GO:0006281~DNA repair;GO:0006351~transcription, DNA-templated;GO:0006355~regulation of transcription, DNA-templated;GO:0007275~multicellular organism development;GO:0007601~visual perception;GO:0007605~sensory perception of sound;GO:0009653~anatomical structure morphogenesis;GO:0016576~histone dephosphorylation;GO:0030154~cell differentiation;GO:0035335~peptidyl-tyrosine dephosphorylation;GO:0045739~positive regulation of DNA repair;GO:0048839~inner ear development;GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,
FBXW7	F-box and WD repeat domain containing 7(FBXW7)	Homo sapiens	GO:0000209~protein polyubiquitination;GO:0001944~vasculature development;GO:0006974~cellular response to DNA damage stimulus;GO:0007062~sister chromatid cohesion;GO:0010868~negative regulation of triglyceride biosynthetic process;GO:0010883~regulation of lipid storage;GO:0016032~viral process;GO:0016567~protein ubiquitination;GO:0031146~SCF-dependent proteasomal ubiquitin-dependent protein catabolic process;GO:0031398~positive regulation of protein ubiquitination;GO:0032876~negative regulation of DNA endoreduplication;GO:0032880~regulation of protein localization;GO:0034644~cellular response to UV;GO:0045741~positive regulation of epidermal growth factor-activated receptor activity;GO:0045746~negative regulation of Notch signaling pathway;GO:0050821~protein stabilization;GO:0051443~positive regulation of ubiquitin-protein transferase activity;GO:0055088~lipid homeostasis;GO:0070374~positive regulation of ERK1 and ERK2 cascade;GO:1901800~positive regulation of proteasomal protein catabolic process;GO:1902806~regulation of cell cycle G1/S phase transition;GO:1903146~regulation of mitophagy;GO:1903378~positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway;GO:1903955~positive regulation of protein targeting to mitochondrion;GO:2000060~positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process;GO:2000346~negative regulation of hepatocyte proliferation;GO:2000639~negative regulation of SREBP signaling pathway,
FBXO31	F-box protein 31(FBXO31)	Homo sapiens	GO:0000209~protein polyubiquitination;GO:0006974~cellular response to DNA damage stimulus;GO:0008054~negative regulation of cyclin-dependent protein serine/threonine kinase by cyclin degradation;GO:0031145~anaphase-promoting complex-dependent catabolic process;GO:0031146~SCF-dependent proteasomal ubiquitin-dependent protein catabolic process;GO:0031571~mitotic G1 DNA damage checkpoint,
FKBP5	FK506 binding protein 5(FKBP5)	Homo sapiens	GO:0000413~protein peptidyl-prolyl isomerization;GO:0006457~protein folding;GO:0061077~chaperone-mediated protein folding,
FAF1	Fas associated factor 1(FAF1)	Homo sapiens	GO:0006915~apoptotic process;GO:0007253~cytoplasmic sequestering of NF-kappaB;GO:0008219~cell death;GO:0010942~positive regulation of cell death;GO:0030155~regulation of cell adhesion;GO:0031334~positive regulation of protein complex assembly;GO:0042176~regulation of protein catabolic process;GO:0043065~positive regulation of apoptotic process;GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process;GO:0045859~regulation of protein kinase activity;GO:1902043~positive regulation of extrinsic apoptotic signaling pathway via death domain receptors,
FADD	Fas associated via death domain(FADD)	Homo sapiens	GO:0001916~positive regulation of T cell mediated cytotoxicity;GO:0002821~positive regulation of adaptive immune response;GO:0006915~apoptotic process;GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0007165~signal transduction;GO:0007166~cell surface receptor signaling pathway;GO:0008625~extrinsic apoptotic signaling pathway via death domain receptors;GO:0032729~positive regulation of interferon-gamma production;GO:0032757~positive regulation of interleukin-8 production;GO:0032760~positive regulation of tumor necrosis factor production;GO:0033077~T cell differentiation in thymus;GO:0035666~TRIF-dependent toll-like receptor signaling pathway;GO:0036462~TRAIL-activated apoptotic signaling pathway;GO:0042104~positive regulation of activated T cell proliferation;GO:0042981~regulation of apoptotic process;GO:0043029~T cell homeostasis;GO:0043065~positive regulation of apoptotic process;GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling;GO:0045087~innate immune response;GO:0045651~positive regulation of macrophage differentiation;GO:0045862~positive regulation of proteolysis;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0048535~lymph node development;GO:0048536~spleen development;GO:0048538~thymus development;GO:0051291~protein heterooligomerization;GO:0051607~defense response to virus;GO:0060340~positive regulation of type I interferon-mediated signaling pathway;GO:0060546~negative regulation of necroptotic process;GO:0070236~negative regulation of activation-induced cell death of T cells;GO:0071260~cellular response to mechanical stimulus;GO:0071550~death-inducing signaling complex assembly;GO:0097049~motor neuron apoptotic process;GO:0097190~apoptotic signaling pathway;GO:0097191~extrinsic apoptotic signaling pathway;GO:0097192~extrinsic apoptotic signaling pathway in absence of ligand;GO:0097202~activation of cysteine-type endopeptidase activity;GO:0097296~activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway;GO:0097527~necroptotic signaling pathway;GO:1902041~regulation of extrinsic apoptotic signaling pathway via death domain receptors;GO:1902042~negative regulation of extrinsic apoptotic signaling pathway via death domain receptors;GO:1902043~positive regulation of extrinsic apoptotic signaling pathway via death domain receptors;GO:2000454~positive regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation;GO:2001238~positive regulation of extrinsic apoptotic signaling pathway,
FAS	Fas cell surface death receptor(FAS)	Homo sapiens	GO:0002377~immunoglobulin production;GO:0003014~renal system process;GO:0006461~protein complex assembly;GO:0006915~apoptotic process;GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0006924~activation-induced cell death of T cells;GO:0006925~inflammatory cell apoptotic process;GO:0006954~inflammatory response;GO:0006955~immune response;GO:0007165~signal transduction;GO:0007420~brain development;GO:0007623~circadian rhythm;GO:0008625~extrinsic apoptotic signaling pathway via death domain receptors;GO:0009636~response to toxic substance;GO:0010467~gene expression;GO:0019724~B cell mediated immunity;GO:0032464~positive regulation of protein homooligomerization;GO:0032496~response to lipopolysaccharide;GO:0033209~tumor necrosis factor-mediated signaling pathway;GO:0042127~regulation of cell proliferation;GO:0042981~regulation of apoptotic process;GO:0043065~positive regulation of apoptotic process;GO:0043066~negative regulation of apoptotic process;GO:0043281~regulation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0043410~positive regulation of MAPK cascade;GO:0045060~negative thymic T cell selection;GO:0045619~regulation of lymphocyte differentiation;GO:0045637~regulation of myeloid cell differentiation;GO:0048536~spleen development;GO:0050869~negative regulation of B cell activation;GO:0051260~protein homooligomerization;GO:0051384~response to glucocorticoid;GO:0070230~positive regulation of lymphocyte apoptotic process;GO:0071260~cellular response to mechanical stimulus;GO:0071285~cellular response to lithium ion;GO:0071455~cellular response to hyperoxia;GO:0097049~motor neuron apoptotic process;GO:0097190~apoptotic signaling pathway;GO:0097191~extrinsic apoptotic signaling pathway;GO:0097192~extrinsic apoptotic signaling pathway in absence of ligand;GO:0097284~hepatocyte apoptotic process;GO:0097296~activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway;GO:0097527~necroptotic signaling pathway;GO:1902041~regulation of extrinsic apoptotic signaling pathway via death domain receptors;GO:1902042~negative regulation of extrinsic apoptotic signaling pathway via death domain receptors;GO:2001241~positive regulation of extrinsic apoptotic signaling pathway in absence of ligand,
